customer_id,age,gender,region,plan_type,tenure_months,data_used_gb,call_minutes,calls_made,sms_count,revenue_inr,complaints_6m,network_issues,customer_service_calls,payment_delay,roaming_usage,international_calls,device_age_months,satisfaction_score,contract_type,auto_payment,churn
1043,68,Male,Chennai,Postpaid,50,48.19,391,28,21,426.93,3,1,8,4,61,35,53,4,Two-Year,1,0
1044,24,Female,Bangalore,Prepaid,37,86.7,418,71,18,960.89,3,2,3,3,77,27,55,5,Annual,0,0
1045,38,Male,Bangalore,Prepaid,46,4.18,280,8,286,985.14,7,1,3,2,50,18,19,1,Two-Year,1,0
1046,26,Male,Mumbai,Postpaid,42,64.74,943,5,275,281.86,3,0,2,0,3,29,21,6,Two-Year,0,0
1047,56,Male,Mumbai,Prepaid,15,76.53,416,38,494,233.77,4,2,4,3,85,37,58,10,Monthly,1,1
1048,35,Male,Chennai,Prepaid,33,76.19,701,113,146,417.66,6,4,4,2,55,14,30,8,Annual,1,1
1049,21,Female,Delhi,Postpaid,11,88.72,203,13,385,403.38,6,2,9,1,74,43,52,1,Two-Year,1,0
1050,42,Male,Bangalore,Prepaid,20,73.17,450,67,39,783.63,1,2,6,2,33,11,7,2,Annual,1,0
1051,31,Male,Chennai,Postpaid,24,92.85,322,14,166,499.6,4,1,6,4,44,1,5,7,Monthly,1,1
1052,67,Female,Kolkata,Postpaid,64,33.93,88,142,90,801.9,3,5,5,1,15,8,2,2,Two-Year,0,1
1053,26,Male,Kolkata,Postpaid,65,50.82,189,48,71,773.84,7,2,3,1,8,34,51,9,Monthly,0,0
1054,43,Male,Chennai,Prepaid,17,2.39,684,122,364,620.48,2,2,6,0,79,0,56,6,Two-Year,1,0
1055,19,Male,Bangalore,Postpaid,61,1.69,723,10,437,850.16,1,0,1,0,15,45,3,5,Annual,1,0
1056,37,Female,Chennai,Postpaid,15,24.77,23,125,282,276.08,0,1,8,3,94,30,15,7,Monthly,0,0
1057,45,Male,Bangalore,Prepaid,51,10.98,868,99,334,245.63,5,0,6,2,30,27,39,10,Annual,1,0
1058,64,Female,Mumbai,Prepaid,27,26.76,255,115,139,775.59,4,1,1,3,12,44,37,8,Two-Year,1,0
1059,24,Male,Chennai,Prepaid,61,18.53,23,109,238,320.32,5,4,9,0,4,36,55,9,Monthly,1,1
1060,61,Male,Bangalore,Prepaid,58,3.82,108,68,77,102.51,1,5,1,4,46,6,10,6,Annual,1,0
1061,25,Female,Chennai,Postpaid,31,91.02,42,144,198,920.76,7,2,5,0,38,45,9,5,Annual,0,0
1062,64,Male,Chennai,Prepaid,12,1.81,445,75,16,660.64,6,1,6,2,17,15,23,7,Two-Year,1,0
1063,52,Male,Bangalore,Prepaid,46,73.87,266,108,217,500.44,7,2,8,4,19,49,14,2,Monthly,0,0
1064,31,Female,Bangalore,Prepaid,31,16.06,43,93,228,753.16,2,2,3,3,1,13,54,8,Annual,0,0
1065,34,Female,Delhi,Prepaid,32,91.31,28,10,339,400.0,1,3,7,3,39,32,45,4,Monthly,0,0
1066,53,Female,Chennai,Postpaid,32,89.39,673,114,137,958.3,4,0,9,0,29,5,33,1,Monthly,0,0
1067,67,Female,Kolkata,Prepaid,53,65.74,269,116,146,161.76,3,5,1,0,9,20,16,3,Monthly,1,0
1068,57,Female,Chennai,Postpaid,61,67.55,685,131,209,676.85,0,1,5,5,63,9,20,9,Monthly,0,0
1069,21,Male,Chennai,Prepaid,46,1.53,598,140,157,799.56,3,4,3,3,41,31,8,4,Two-Year,1,0
1070,19,Female,Bangalore,Postpaid,7,98.5,835,67,413,522.21,3,5,7,3,74,5,49,10,Annual,1,0
1071,23,Male,Chennai,Postpaid,4,87.91,425,145,152,779.47,7,3,8,1,52,1,38,10,Monthly,0,1
1072,59,Male,Chennai,Prepaid,52,89.62,146,22,343,934.22,4,0,1,2,92,38,34,3,Annual,0,0
1073,21,Male,Kolkata,Postpaid,31,66.27,368,81,329,769.59,3,4,6,1,52,48,31,4,Annual,1,0
1074,46,Female,Bangalore,Prepaid,36,35.13,729,146,382,378.43,7,4,6,1,39,26,45,3,Annual,1,1
1075,35,Female,Chennai,Postpaid,54,89.47,763,143,449,605.66,3,2,7,3,15,13,57,3,Two-Year,0,0
1076,43,Male,Mumbai,Postpaid,54,29.86,588,107,357,920.44,4,0,4,5,47,22,8,2,Monthly,0,0
1077,61,Female,Delhi,Postpaid,17,56.71,125,121,351,504.19,7,3,2,2,60,38,25,6,Monthly,1,1
1078,51,Female,Kolkata,Prepaid,30,10.87,413,21,162,713.53,4,1,0,3,91,20,41,10,Annual,0,1
1079,27,Female,Chennai,Postpaid,22,92.27,211,18,306,518.96,2,1,3,1,80,40,13,6,Annual,0,0
1080,53,Female,Mumbai,Prepaid,43,14.94,385,61,100,209.21,3,3,2,1,37,29,18,10,Two-Year,1,1
1081,31,Male,Chennai,Postpaid,27,23.26,259,97,326,152.74,1,2,1,3,43,24,50,4,Two-Year,1,0
1082,48,Male,Chennai,Postpaid,37,56.26,455,138,326,957.05,6,2,5,0,14,23,41,8,Annual,1,1
1083,65,Female,Bangalore,Postpaid,46,76.65,963,118,154,651.29,0,4,6,0,94,10,34,6,Monthly,1,0
1084,32,Male,Bangalore,Postpaid,35,62.32,287,136,9,193.43,5,0,9,3,60,34,36,8,Two-Year,1,0
1085,25,Female,Bangalore,Postpaid,4,23.98,121,143,352,871.69,0,4,6,4,6,3,50,6,Monthly,1,0
1086,31,Female,Mumbai,Postpaid,26,1.09,972,113,426,570.42,4,1,7,4,29,36,17,9,Two-Year,0,1
1087,40,Male,Chennai,Prepaid,19,75.96,852,123,182,794.74,7,3,1,0,35,35,12,3,Monthly,1,1
1088,57,Male,Delhi,Prepaid,45,98.54,482,96,454,214.08,5,0,9,2,89,12,16,3,Annual,1,1
1089,38,Male,Kolkata,Prepaid,26,81.18,755,15,133,916.22,4,3,5,5,10,8,13,2,Two-Year,1,0
1090,33,Female,Bangalore,Postpaid,22,46.56,697,103,5,631.48,6,0,5,1,69,27,11,10,Annual,0,0
1091,62,Male,Bangalore,Prepaid,58,90.47,401,12,332,764.43,7,5,9,2,28,45,14,6,Two-Year,0,0
1092,35,Female,Chennai,Postpaid,63,41.57,978,118,431,128.24,6,1,0,0,91,15,42,7,Annual,1,0
1093,64,Male,Chennai,Prepaid,28,52.97,152,69,332,383.77,2,1,1,3,78,5,55,7,Two-Year,1,0
1094,41,Male,Mumbai,Prepaid,65,48.24,41,97,257,340.7,3,5,8,4,92,26,28,5,Two-Year,0,0
1095,43,Female,Mumbai,Postpaid,44,45.31,190,108,210,954.64,4,0,7,0,5,9,59,6,Two-Year,0,1
1096,42,Female,Bangalore,Postpaid,43,77.74,588,103,50,266.8,6,2,3,2,75,22,53,7,Monthly,1,0
1097,62,Female,Chennai,Prepaid,37,53.15,525,88,444,736.35,4,0,5,2,50,20,51,2,Monthly,0,0
1098,58,Female,Delhi,Prepaid,66,32.35,807,77,146,138.48,0,1,1,5,79,25,24,10,Two-Year,0,1
1099,46,Female,Kolkata,Prepaid,17,26.56,278,149,497,277.92,3,3,4,0,37,44,53,7,Annual,0,0
1100,32,Female,Chennai,Prepaid,40,4.74,245,63,376,404.74,2,4,1,1,72,2,17,1,Annual,1,0
1101,62,Female,Chennai,Postpaid,38,58.74,286,35,127,815.06,6,3,4,2,21,42,9,6,Two-Year,0,0
1102,18,Female,Mumbai,Prepaid,61,23.77,562,68,485,810.98,7,1,6,1,96,34,46,8,Monthly,0,1
1103,42,Male,Kolkata,Postpaid,9,15.67,642,52,257,957.34,4,3,6,1,89,6,30,1,Monthly,1,0
1104,24,Female,Bangalore,Postpaid,61,65.73,284,27,50,925.09,4,2,8,3,53,26,37,1,Monthly,0,0
1105,26,Female,Chennai,Prepaid,16,68.44,752,59,153,173.36,7,2,2,0,39,41,3,6,Monthly,0,0
1106,41,Male,Bangalore,Postpaid,2,75.46,825,11,69,846.88,4,0,3,0,6,32,54,5,Annual,0,1
1107,18,Female,Chennai,Prepaid,72,50.85,95,116,275,506.06,0,3,8,1,95,3,8,3,Two-Year,1,0
1108,61,Male,Bangalore,Postpaid,43,89.51,72,110,278,879.3,6,3,7,3,39,25,18,10,Two-Year,1,0
1109,25,Male,Kolkata,Postpaid,42,93.7,413,102,309,180.36,4,1,6,2,23,7,59,10,Two-Year,1,0
1110,41,Female,Mumbai,Prepaid,57,80.93,201,16,398,840.49,4,0,7,2,40,19,30,7,Annual,0,0
1111,28,Male,Kolkata,Postpaid,67,63.92,302,64,133,243.68,0,0,8,0,50,16,3,7,Monthly,0,0
1112,68,Female,Delhi,Postpaid,30,31.07,40,56,219,400.46,4,3,3,1,38,4,55,7,Monthly,0,0
1113,34,Male,Mumbai,Prepaid,13,98.31,339,144,162,125.96,7,4,4,3,82,48,34,6,Annual,1,0
1114,25,Male,Kolkata,Postpaid,19,28.14,667,145,458,211.36,3,3,8,3,42,8,59,4,Annual,1,1
1115,52,Male,Delhi,Postpaid,7,21.06,116,76,135,501.15,3,3,6,2,68,7,43,9,Two-Year,0,0
1116,52,Female,Chennai,Prepaid,9,44.77,880,129,56,836.5,0,3,3,2,93,6,28,9,Two-Year,1,1
1117,50,Female,Chennai,Prepaid,54,6.63,631,64,433,796.3,3,2,5,4,58,36,37,7,Annual,1,0
1118,22,Male,Bangalore,Postpaid,61,97.87,285,35,176,311.77,5,5,0,4,24,35,25,7,Annual,0,0
1119,59,Male,Mumbai,Postpaid,2,59.25,731,81,114,236.52,5,0,0,1,93,2,30,8,Annual,0,0
1120,56,Female,Chennai,Postpaid,50,56.14,660,80,498,450.34,5,5,8,4,24,7,7,5,Monthly,1,0
1121,58,Female,Mumbai,Prepaid,31,65.92,607,65,471,894.94,2,2,7,3,72,4,46,9,Two-Year,1,1
1122,45,Male,Chennai,Postpaid,33,50.21,565,6,148,182.28,4,4,0,4,90,4,29,6,Annual,1,0
1123,24,Male,Bangalore,Postpaid,11,4.17,91,125,240,588.62,2,1,1,0,23,16,51,7,Annual,0,0
1124,26,Female,Kolkata,Postpaid,33,61.62,73,63,122,179.93,3,4,3,0,61,46,2,7,Monthly,1,1
1125,25,Female,Bangalore,Postpaid,7,71.9,899,44,291,523.19,0,0,0,5,42,26,26,9,Annual,0,0
1126,29,Female,Delhi,Postpaid,31,42.26,939,36,326,214.11,5,1,1,2,58,39,41,7,Two-Year,1,1
1127,51,Female,Chennai,Postpaid,48,75.97,864,42,68,172.3,0,5,4,2,53,38,57,3,Monthly,1,0
1128,50,Female,Delhi,Prepaid,47,23.47,842,96,313,271.76,2,4,7,1,78,48,57,6,Annual,0,1
1129,65,Male,Delhi,Prepaid,53,22.91,576,92,62,329.73,7,0,5,0,25,11,42,6,Two-Year,0,1
1130,40,Female,Mumbai,Postpaid,19,16.98,595,145,220,348.64,3,4,5,5,53,27,51,7,Two-Year,1,0
1131,41,Male,Chennai,Postpaid,6,37.83,894,89,15,680.74,6,1,3,1,60,3,49,6,Monthly,1,0
1132,54,Female,Delhi,Prepaid,49,84.85,138,80,389,149.48,4,1,1,1,93,27,57,4,Two-Year,0,1
1133,52,Male,Kolkata,Prepaid,50,82.96,265,132,77,172.73,6,4,2,4,74,24,7,6,Monthly,1,0
1134,61,Female,Delhi,Prepaid,12,38.9,943,17,121,269.84,3,2,5,2,92,49,18,3,Two-Year,0,0
1135,57,Female,Kolkata,Postpaid,23,59.32,240,43,435,884.86,5,4,5,1,78,35,6,1,Annual,0,1
1136,39,Male,Mumbai,Postpaid,54,72.36,506,27,257,665.74,7,5,4,1,43,41,59,1,Monthly,1,0
1137,44,Male,Delhi,Postpaid,69,24.88,146,114,216,757.33,3,4,5,2,8,2,41,5,Two-Year,0,0
1138,52,Female,Bangalore,Postpaid,59,17.65,872,111,478,433.33,0,4,5,2,41,30,40,8,Monthly,0,0
1139,18,Female,Mumbai,Prepaid,36,97.24,464,96,113,291.9,1,2,0,0,28,36,27,3,Two-Year,1,0
1140,52,Female,Kolkata,Prepaid,3,62.14,922,146,369,134.17,7,3,5,2,78,11,54,2,Monthly,1,1
1141,54,Female,Mumbai,Prepaid,58,98.16,364,149,460,539.68,5,1,4,4,80,36,54,8,Annual,1,0
1142,64,Female,Delhi,Prepaid,55,34.44,633,28,379,616.85,6,5,7,0,79,36,56,9,Monthly,1,1
1143,31,Male,Chennai,Postpaid,57,70.6,494,38,145,907.3,4,0,8,5,57,3,41,9,Monthly,1,0
1144,20,Male,Chennai,Postpaid,17,23.04,829,116,464,893.88,5,1,5,1,85,29,24,2,Annual,1,1
1145,18,Female,Kolkata,Prepaid,39,26.86,155,142,236,482.22,5,1,9,4,62,37,33,8,Two-Year,1,0
1146,22,Male,Kolkata,Prepaid,68,51.68,968,122,475,481.22,4,3,3,4,48,41,31,2,Annual,1,0
1147,43,Male,Chennai,Prepaid,55,32.64,42,11,459,245.01,6,1,2,0,10,37,34,7,Monthly,1,0
1148,31,Male,Kolkata,Prepaid,45,17.59,269,94,418,331.7,5,1,9,1,88,26,22,8,Annual,0,0
1149,56,Female,Mumbai,Prepaid,1,27.03,96,17,85,933.1,0,2,0,0,53,21,24,1,Annual,1,0
1150,44,Male,Bangalore,Postpaid,21,4.54,852,84,166,226.93,3,2,6,3,29,0,36,8,Monthly,0,0
1151,26,Female,Bangalore,Postpaid,21,70.74,957,34,128,971.83,0,2,4,3,65,47,28,3,Monthly,1,0
1152,32,Male,Mumbai,Prepaid,52,49.72,274,137,164,554.26,3,2,3,0,64,42,20,1,Annual,1,0
1153,32,Female,Bangalore,Prepaid,43,10.33,841,20,276,510.95,1,2,8,1,57,37,18,7,Monthly,0,0
1154,43,Male,Delhi,Prepaid,52,18.0,551,44,256,257.17,5,5,6,1,56,19,42,10,Two-Year,0,0
1155,59,Female,Mumbai,Postpaid,67,11.15,401,41,131,695.39,1,0,9,2,36,17,32,3,Two-Year,0,0
1156,30,Female,Kolkata,Postpaid,44,61.65,241,82,479,513.86,2,3,7,4,53,5,33,8,Two-Year,0,0
1157,68,Male,Mumbai,Postpaid,32,10.33,910,20,57,433.6,6,4,3,0,72,48,10,9,Two-Year,1,1
1158,49,Female,Chennai,Prepaid,10,75.67,597,47,256,338.06,3,5,9,4,68,11,9,2,Annual,1,0
1159,56,Female,Kolkata,Postpaid,64,3.03,456,67,140,159.84,0,2,9,4,23,16,55,1,Annual,1,1
1160,66,Female,Chennai,Prepaid,69,25.69,138,19,173,567.4,7,3,7,3,62,21,25,8,Annual,1,0
1161,69,Female,Kolkata,Postpaid,68,89.18,280,141,174,381.62,0,4,3,3,90,17,13,10,Monthly,1,1
1162,49,Female,Bangalore,Postpaid,28,72.13,98,69,208,737.08,5,1,0,5,93,9,47,6,Annual,1,0
1163,21,Female,Mumbai,Postpaid,53,8.22,475,48,203,751.17,0,5,7,0,50,23,50,10,Annual,0,0
1164,47,Female,Delhi,Prepaid,51,82.29,943,24,6,398.9,2,1,0,5,14,19,58,1,Monthly,1,0
1165,54,Female,Kolkata,Prepaid,53,49.81,179,123,50,702.21,4,3,2,0,46,11,45,3,Monthly,0,1
1166,40,Male,Kolkata,Postpaid,4,84.83,137,116,258,332.81,0,0,6,1,72,3,5,9,Monthly,1,0
1167,56,Male,Chennai,Prepaid,17,60.47,183,127,177,754.46,5,0,2,0,45,41,31,9,Two-Year,1,0
1168,62,Female,Bangalore,Prepaid,67,68.5,958,84,409,114.47,1,3,7,1,29,4,31,6,Annual,0,0
1169,32,Female,Chennai,Prepaid,47,99.36,35,104,30,236.45,6,0,4,1,78,25,34,3,Annual,1,0
1170,60,Male,Chennai,Prepaid,56,24.0,582,10,355,320.51,0,0,2,0,19,35,26,8,Annual,1,0
1171,46,Male,Bangalore,Prepaid,23,62.77,520,87,317,795.64,0,1,4,1,56,15,7,6,Monthly,0,0
1172,53,Male,Delhi,Prepaid,18,46.57,497,35,153,159.74,0,0,4,4,48,4,41,1,Annual,0,0
1173,30,Female,Chennai,Prepaid,1,4.91,900,70,450,269.25,5,0,7,1,55,25,51,6,Two-Year,1,0
1174,49,Male,Chennai,Postpaid,35,2.43,588,22,363,422.76,6,3,8,4,55,18,46,5,Annual,0,0
1175,24,Female,Kolkata,Prepaid,64,12.8,959,32,54,108.26,4,0,5,4,24,5,49,8,Annual,0,0
1176,68,Female,Bangalore,Prepaid,58,65.26,415,72,155,785.91,0,5,9,4,8,23,52,2,Monthly,0,0
1177,39,Male,Mumbai,Postpaid,59,57.15,35,118,43,604.09,4,2,2,2,21,30,20,7,Two-Year,1,1
1178,45,Female,Delhi,Postpaid,1,55.79,92,62,80,910.61,4,2,1,5,76,30,43,6,Annual,0,0
1179,19,Female,Delhi,Postpaid,3,4.15,373,133,165,127.93,6,3,2,2,36,6,22,1,Monthly,1,1
1180,59,Female,Bangalore,Postpaid,67,47.46,376,43,494,344.25,6,2,8,1,27,9,5,8,Two-Year,0,0
1181,62,Female,Kolkata,Prepaid,37,92.54,69,110,29,758.13,2,1,6,5,13,38,12,6,Two-Year,0,0
1182,23,Male,Kolkata,Postpaid,29,40.36,560,5,321,707.63,1,5,8,5,29,21,21,3,Monthly,0,0
1183,45,Male,Bangalore,Postpaid,33,62.87,644,79,135,318.75,0,5,5,5,38,13,9,5,Monthly,0,0
1184,45,Female,Kolkata,Prepaid,61,78.2,301,92,13,636.12,0,3,7,0,56,27,29,7,Monthly,1,0
1185,61,Female,Delhi,Prepaid,4,78.61,798,146,356,814.38,0,0,9,1,4,41,27,9,Monthly,1,0
1186,61,Male,Delhi,Prepaid,14,52.41,946,64,482,130.04,4,2,8,2,11,21,17,4,Monthly,1,0
1187,37,Female,Mumbai,Postpaid,33,85.94,895,134,105,745.87,7,1,2,5,34,31,40,2,Monthly,0,1
1188,47,Male,Bangalore,Prepaid,22,39.75,825,114,358,326.89,6,3,6,5,40,10,24,3,Annual,0,0
1189,28,Female,Chennai,Postpaid,48,88.98,803,23,317,953.07,3,3,8,3,62,13,27,7,Monthly,0,0
1190,45,Female,Chennai,Prepaid,3,24.78,200,66,74,584.4,7,0,1,5,41,30,8,8,Monthly,1,0
1191,42,Male,Mumbai,Prepaid,23,28.74,470,75,446,130.05,1,4,6,5,64,43,44,5,Two-Year,0,0
1192,56,Male,Mumbai,Postpaid,68,6.26,813,115,78,463.09,5,2,4,3,64,3,29,3,Two-Year,0,0
1193,50,Male,Kolkata,Prepaid,21,79.76,673,137,193,969.68,0,1,7,1,42,44,19,1,Two-Year,1,0
1194,18,Male,Mumbai,Prepaid,43,42.29,905,76,484,757.34,3,3,3,2,59,21,10,10,Monthly,0,0
1195,44,Female,Mumbai,Prepaid,26,23.68,242,82,362,370.43,3,2,0,4,19,28,24,1,Monthly,1,0
1196,69,Male,Chennai,Prepaid,41,23.95,483,104,95,617.74,6,1,9,2,97,34,34,2,Annual,1,0
1197,30,Female,Kolkata,Prepaid,38,90.24,414,75,39,639.19,3,5,7,1,97,12,56,5,Annual,1,1
1198,58,Male,Mumbai,Postpaid,11,83.56,667,11,255,121.01,1,5,5,2,62,19,40,3,Annual,0,0
1199,20,Male,Mumbai,Postpaid,29,55.8,280,54,396,260.95,3,1,7,3,23,18,31,7,Annual,0,0
1200,56,Female,Kolkata,Prepaid,60,61.99,856,50,106,596.6,5,5,2,5,91,14,46,2,Monthly,0,0
1201,23,Male,Bangalore,Postpaid,67,47.96,143,76,16,462.48,0,3,7,5,74,25,51,2,Two-Year,1,0
1202,25,Male,Kolkata,Postpaid,65,39.77,180,80,14,271.03,5,2,7,4,71,19,4,3,Monthly,0,1
1203,44,Male,Chennai,Postpaid,61,91.63,424,78,416,795.4,0,1,0,1,34,35,41,1,Monthly,1,0
1204,26,Male,Bangalore,Prepaid,19,13.44,37,146,498,540.1,2,3,3,5,40,5,45,2,Monthly,1,0
1205,54,Female,Delhi,Prepaid,46,42.43,145,77,271,378.98,4,2,6,1,15,14,31,5,Monthly,0,0
1206,50,Female,Kolkata,Prepaid,49,35.11,934,106,498,245.51,3,2,0,0,79,3,9,3,Two-Year,0,0
1207,68,Male,Chennai,Postpaid,22,50.32,414,98,12,650.05,5,3,2,4,5,5,26,10,Two-Year,1,1
1208,59,Male,Bangalore,Postpaid,57,46.31,986,73,246,699.64,4,2,2,1,19,1,13,6,Annual,1,0
1209,61,Male,Kolkata,Prepaid,14,52.37,897,69,213,702.64,4,4,5,2,55,35,57,2,Monthly,0,0
1210,41,Female,Mumbai,Prepaid,44,14.85,514,66,150,298.26,4,1,4,2,74,49,48,8,Annual,0,1
1211,32,Female,Kolkata,Postpaid,16,51.8,250,24,291,635.8,4,1,6,2,7,14,26,4,Two-Year,1,0
1212,49,Female,Delhi,Postpaid,12,25.0,865,48,42,914.87,4,2,2,2,83,11,54,3,Two-Year,1,0
1213,49,Female,Kolkata,Prepaid,55,19.25,963,66,433,417.87,0,3,0,1,95,39,1,5,Annual,0,0
1214,41,Male,Bangalore,Postpaid,51,7.42,453,111,113,289.69,1,0,2,3,96,43,40,8,Two-Year,1,0
1215,58,Male,Bangalore,Postpaid,39,76.5,443,129,329,794.93,3,5,7,4,5,40,9,9,Two-Year,0,0
1216,69,Male,Kolkata,Postpaid,33,43.32,237,49,80,259.19,3,2,4,2,91,6,31,1,Monthly,0,0
1217,66,Female,Bangalore,Postpaid,33,63.04,518,15,349,328.37,0,0,2,1,7,21,24,4,Monthly,1,0
1218,66,Male,Mumbai,Postpaid,29,73.03,808,92,140,190.58,5,2,7,5,61,7,45,6,Two-Year,1,1
1219,69,Female,Kolkata,Postpaid,69,68.25,312,50,29,341.09,0,0,5,5,13,41,49,6,Two-Year,0,0
1220,29,Female,Mumbai,Postpaid,70,47.58,43,116,440,469.3,6,2,2,1,2,10,22,9,Annual,1,0
1221,56,Male,Mumbai,Prepaid,31,39.4,11,85,493,157.74,7,3,4,2,1,1,57,1,Annual,0,1
1222,19,Male,Chennai,Prepaid,31,38.22,371,36,29,884.54,4,5,0,0,21,29,9,5,Two-Year,1,0
1223,20,Male,Kolkata,Postpaid,46,64.36,204,102,454,562.31,1,0,5,1,96,3,39,10,Monthly,1,0
1224,66,Female,Bangalore,Postpaid,52,49.98,615,9,265,629.29,3,4,8,4,84,24,23,1,Monthly,1,1
1225,54,Female,Mumbai,Postpaid,10,85.06,849,33,98,434.16,5,3,6,4,69,20,20,6,Annual,1,0
1226,66,Male,Chennai,Prepaid,41,87.6,317,52,449,702.85,2,5,7,0,70,24,55,9,Monthly,0,0
